Age,Country,Average Finish Position,Behind Winner,Races Won,Total Races,Win%
2,AUS,7.040178571428571,6.833705357142856,122.0,1120,0.10892857142857143
2,GER,9.0,7.357142857142857,1.0,7,0.14285714285714285
2,ITY,7.5,7.25,0.0,2,0.0
2,NZ,7.64519906323185,6.1416861826697895,51.0,854,0.059718969555035126
2,SAF,8.4,8.975,2.0,20,0.1
3,ARG,8.568965517241379,16.410775862068967,5.0,116,0.04310344827586207
3,AUS,6.843208631200386,6.256824262093736,1892.0,22801,0.08297881671856497
3,BRZ,8.666666666666666,7.083333333333333,1.0,15,0.06666666666666667
3,CAN,8.544444444444444,8.041666666666666,3.0,90,0.03333333333333333
3,FR,7.534653465346534,5.681612446958982,40.0,707,0.056577086280056574
3,GB,7.054545454545455,6.831649350649356,254.0,3850,0.06597402597402598
3,GER,7.491071428571429,5.551562500000001,8.0,224,0.03571428571428571
3,GR,7.848484848484849,5.513636363636364,1.0,33,0.030303030303030304
3,IRE,7.230889679715302,6.180071174377232,446.0,7025,0.06348754448398576
3,ITY,8.051282051282051,5.583333333333333,2.0,39,0.05128205128205128
3,JPN,12.153846153846153,16.557692307692307,0.0,13,0.0
3,NZ,6.848325673013789,6.2662109558202435,1729.0,21322,0.08108995403808274
3,SAF,7.2375249500998,7.032634730538922,36.0,501,0.0718562874251497
3,SPA,13.0,12.125,0.0,2,0.0
3,USA,7.5,10.706907090464547,107.0,1636,0.06540342298288508
3,ZIM,8.666666666666666,5.791666666666667,1.0,12,0.08333333333333333
4,ARG,7.0,3.2857142857142856,0.0,7,0.0
4,AUS,5.979158913286192,4.041198362486044,271.0,2687,0.10085597320431708
4,FR,7.092592592592593,5.8983796296296305,17.0,216,0.0787037037037037
4,GB,6.324324324324325,4.417961711711711,98.0,888,0.11036036036036036
4,GER,5.880952380952381,3.505952380952381,4.0,42,0.09523809523809523
4,IRE,6.141838351822504,4.21295562599049,121.0,1262,0.09587955625990491
4,ITY,6.6,3.36,1.0,15,0.06666666666666667
4,JPN,9.777777777777779,6.777777777777778,0.0,9,0.0
4,NZ,6.123913043478261,4.271304347826085,239.0,2300,0.10391304347826087
4,SAF,6.534090909090909,4.1335227272727275,9.0,88,0.10227272727272728
4,USA,6.845864661654136,4.933834586466165,24.0,266,0.09022556390977443
5,ARG,10.0,9.0,0.0,2,0.0
5,AUS,6.5412778176597275,4.605491744436467,99.0,1393,0.07106963388370424
5,FR,7.269230769230769,5.368846153846154,8.0,130,0.06153846153846154
5,GB,6.35551948051948,4.439691558441559,57.0,616,0.09253246753246754
5,GER,8.37037037037037,7.7592592592592595,0.0,27,0.0
5,IRE,6.11706102117061,4.157534246575342,76.0,803,0.09464508094645081
5,ITY,8.833333333333334,7.125,0.0,6,0.0
5,NZ,6.588785046728972,4.762365204888569,118.0,1391,0.08483105679367361
5,SAF,7.148148148148148,5.157407407407407,2.0,27,0.07407407407407407
5,USA,6.675977653631285,5.112011173184357,18.0,179,0.1005586592178771
6,AUS,7.466555183946488,5.535953177257524,29.0,598,0.048494983277591976
6,FR,7.2063492063492065,21.13095238095238,5.0,63,0.07936507936507936
6,GB,7.277929155313352,5.1613079019073576,20.0,367,0.05449591280653951
6,GER,7.0,6.204545454545454,0.0,11,0.0
6,IRE,6.806976744186047,4.819651162790697,24.0,430,0.05581395348837209
6,ITY,6.75,4.9375,0.0,4,0.0
6,NZ,7.118260869565217,5.136434782608696,42.0,575,0.07304347826086957
6,SAF,8.0,4.583333333333333,0.0,3,0.0
6,USA,6.98019801980198,5.419801980198019,8.0,101,0.07920792079207921
7,AUS,7.219387755102041,5.411479591836735,15.0,196,0.07653061224489796
7,FR,7.4375,4.59375,0.0,16,0.0
7,GB,7.361290322580645,5.336451612903225,8.0,155,0.05161290322580645
7,GER,6.0,4.166666666666667,0.0,3,0.0
7,IRE,7.1313131313131315,4.948484848484848,7.0,198,0.03535353535353535
7,NZ,7.0476190476190474,4.783630952380953,9.0,168,0.05357142857142857
7,USA,7.0675675675675675,5.493243243243243,5.0,74,0.06756756756756757
8,AUS,7.684210526315789,6.053947368421053,1.0,76,0.013157894736842105
8,FR,8.0,7.775,0.0,10,0.0
8,GB,7.842105263157895,5.719298245614035,3.0,57,0.05263157894736842
8,IRE,6.931818181818182,4.776136363636364,3.0,44,0.06818181818181818
8,NZ,8.451612903225806,6.274193548387097,0.0,31,0.0
8,USA,8.5,6.5,0.0,2,0.0
9,AUS,8.642857142857142,10.053571428571429,0.0,14,0.0
9,GB,5.25,3.0625,2.0,16,0.125
9,NZ,6.4,3.375,1.0,10,0.1
10,GB,3.1666666666666665,1.625,2.0,6,0.3333333333333333
2,AUS,5.5,1.875,0.0,2,0.0
3,AUS,3.65625,2.1734375000000004,12.0,32,0.375
3,FR,4.0,1.6666666666666667,2.0,3,0.6666666666666666
3,GB,4.833333333333333,5.041666666666667,1.0,6,0.16666666666666666
3,IRE,2.8333333333333335,1.3541666666666667,4.0,12,0.3333333333333333
3,NZ,1.6666666666666667,0.6666666666666666,1.0,3,0.3333333333333333
4,AUS,5.568181818181818,3.0482954545454546,7.0,88,0.07954545454545454
4,FR,5.8,5.55,0.0,5,0.0
4,GB,5.566666666666666,2.82,5.0,30,0.16666666666666666
4,IRE,3.6666666666666665,1.837878787878788,9.0,33,0.2727272727272727
4,NZ,4.333333333333333,2.488888888888889,2.0,18,0.1111111111111111
4,USA,5.761904761904762,3.5,2.0,21,0.09523809523809523
5,AUS,5.924050632911392,3.304430379746835,6.0,79,0.0759493670886076
5,FR,6.0,2.4166666666666665,1.0,6,0.16666666666666666
5,GB,6.3,4.035,5.0,50,0.1
5,IRE,5.864864864864865,3.5635135135135143,5.0,37,0.13513513513513514
5,NZ,6.631578947368421,4.6986842105263165,3.0,38,0.07894736842105263
5,SAF,9.0,4.0,0.0,1,0.0
5,USA,7.0,4.321428571428571,0.0,21,0.0
6,AUS,8.11111111111111,6.222222222222222,1.0,27,0.037037037037037035
6,FR,8.75,6.875,0.0,4,0.0
6,GB,7.142857142857143,4.7023809523809526,2.0,21,0.09523809523809523
6,IRE,6.193548387096774,4.5,1.0,31,0.03225806451612903
6,NZ,8.142857142857142,4.321428571428571,0.0,7,0.0
6,USA,7.0,4.833333333333333,0.0,9,0.0
7,AUS,7.375,4.46875,0.0,8,0.0
7,GB,8.8,5.65,0.0,5,0.0
7,IRE,6.5,3.9166666666666665,0.0,6,0.0
7,NZ,7.875,4.84375,0.0,8,0.0
8,IRE,7.5,4.25,0.0,2,0.0
2,AUS,5.377358490566038,3.108490566037736,8.0,53,0.1509433962264151
2,GER,11.666666666666666,7.583333333333333,0.0,3,0.0
2,ITY,7.5,7.25,0.0,2,0.0
2,NZ,7.239130434782608,5.592391304347826,2.0,46,0.043478260869565216
2,SAF,8.666666666666666,11.125,0.0,6,0.0
3,AUS,5.795774647887324,3.87981220657277,60.0,426,0.14084507042253522
3,FR,9.681818181818182,8.143939393939394,2.0,66,0.030303030303030304
3,GB,6.9935064935064934,4.627597402597402,15.0,154,0.09740259740259741
3,GER,4.5,3.125,0.0,6,0.0
3,IRE,7.216494845360825,5.487886597938145,15.0,194,0.07731958762886598
3,ITY,8.461538461538462,5.730769230769231,1.0,13,0.07692307692307693
3,NZ,6.006410256410256,3.728205128205128,18.0,156,0.11538461538461539
3,SAF,9.88888888888889,7.5,0.0,9,0.0
3,USA,8.063829787234043,6.627659574468085,5.0,47,0.10638297872340426
4,AUS,6.018223234624146,3.6637813211845103,45.0,439,0.10250569476082004
4,FR,7.0,4.49375,5.0,40,0.125
4,GB,5.875,3.5593749999999997,19.0,128,0.1484375
4,GER,7.4,4.275,0.0,10,0.0
4,IRE,6.0,3.983988764044944,19.0,178,0.10674157303370786
4,ITY,4.333333333333333,2.0500000000000003,0.0,3,0.0
4,NZ,5.8691983122362865,3.7660337552742615,24.0,237,0.10126582278481013
4,SAF,2.125,0.96875,3.0,8,0.375
4,USA,5.534883720930233,3.731395348837209,6.0,43,0.13953488372093023
5,AUS,7.339712918660287,5.007416267942585,7.0,209,0.03349282296650718
5,FR,8.434782608695652,4.6521739130434785,2.0,23,0.08695652173913043
5,GB,7.1923076923076925,4.552884615384615,2.0,104,0.019230769230769232
5,GER,9.25,5.25,0.0,8,0.0
5,IRE,6.228915662650603,4.235843373493975,12.0,166,0.07228915662650602
5,NZ,7.1420118343195265,5.500887573964498,16.0,169,0.09467455621301775
5,SAF,7.666666666666667,4.083333333333333,0.0,3,0.0
5,USA,6.5,3.75,2.0,12,0.16666666666666666
6,AUS,8.264705882352942,5.605882352941176,3.0,68,0.04411764705882353
6,FR,8.4375,4.90625,1.0,16,0.0625
6,GB,8.133333333333333,6.377777777777778,2.0,45,0.044444444444444446
6,IRE,7.944444444444445,5.877777777777778,1.0,90,0.011111111111111112
